Ticker	ESG_Score
MMM	34
AOS	25
ABT	25
ABBV	28
ACN	10
ATVI	19
ADM	36
ADBE	12
ADP	14
AES	34
AFL	17
A	15
APD	11
AKAM	17
ALK	N/A
ALB	29
ARE	14
ALGN	N/A
ALLE	24
LNT	22
ALL	19
GOOGL	24
GOOG	N/A
MO	24
AMZN	30
AMCR	N/A
AMD	N/A
AEE	30
AAL	29
AEP	26
AXP	18
AIG	25
AMT	11
AWK	22
AMP	23
AME	24
AMGN	22
APH	21
ADI	24
ANSS	13
AON	N/A
APA	39
AAPL	17
AMAT	12
APTV	12
ACGL	21
ANET	16
AJG	21
AIZ	24
T	22
ATO	35
ADSK	16
AZO	11
AVB	11
AVY	15
AXON	N/A
BKR	N/A
BALL	11
BAC	27
BBWI	16
BAX	24
BDX	27
WRB	22
BRK.B	N/A
BBY	14
BIO	17
TECH	N/A
BIIB	21
BLK	21
BK	21
BA	35
BKNG	22
BWA	13
BXP	13
BSX	26
BMY	23
AVGO	22
BR	16
BRO	21
BF.B	N/A
BG	34
CHRW	20
CDNS	12
CZR	N/A
CPT	16
CPB	24
COF	23
CAH	12
KMX	12
CCL	24
CARR	N/A
CTLT	N/A
CAT	34
CBOE	21
CBRE	7
CDW	9
CE	29
COR	N/A
CNC	21
CNP	26
CDAY	N/A
CF	30
CRL	N/A
SCHW	24
CHTR	27
CVX	38
CMG	24
CB	24
CHD	20
CI	12
CINF	26
CTAS	18
CSCO	12
C	27
CFG	23
CLX	21
CME	15
CMS	21
KO	23
CTSH	14
CL	22
CMCSA	25
CMA	26
CAG	32
COP	35
ED	23
STZ	26
CEG	N/A
COO	20
CPRT	18
GLW	19
CTVA	N/A
CSGP	27
COST	24
CTRA	46
CCI	13
CSX	20
CMI	19
CVS	23
DHI	22
DHR	12
DRI	28
DVA	23
DE	17
DAL	26
XRAY	16
DVN	37
DXCM	24
FANG	N/A
DLR	13
DFS	23
DIS	15
DG	17
DLTR	15
D	25
DPZ	31
DOV	25
DOW	N/A
DTE	30
DUK	28
DD	29
DXC	16
EMN	25
ETN	18
EBAY	17
ECL	24
EIX	27
EW	19
EA	10
ELV	11
LLY	32
EMR	29
ENPH	N/A
ETR	30
EOG	36
EPAM	N/A
EQT	37
EFX	26
EQIX	12
EQR	11
ESS	12
EL	26
ETSY	N/A
EG	N/A
EVRG	N/A
ES	19
EXC	24
EXPE	26
EXPD	16
EXR	14
XOM	36
FFIV	19
FDS	20
FICO	N/A
FAST	26
FRT	12
FDX	20
FITB	17
FSLR	N/A
FE	30
FIS	18
FI	N/A
FLT	18
FMC	33
F	30
FTNT	19
FTV	35
FOXA	N/A
FOX	N/A
BEN	18
FCX	32
GRMN	19
IT	22
GEHC	N/A
GEN	15
GNRC	N/A
GD	35
GE	41
GIS	22
GM	31
GPC	13
GILD	22
GL	20
GPN	19
GS	26
HAL	24
HIG	16
HAS	7
HCA	28
PEAK	10
HSIC	13
HSY	27
HES	36
HPE	12
HLT	17
HOLX	28
HD	13
HON	29
HRL	30
HST	14
HWM	N/A
HPQ	11
HUM	22
HBAN	20
HII	N/A
IBM	15
IEX	27
IDXX	19
ITW	20
ILMN	11
INCY	24
IR	N/A
PODD	N/A
INTC	17
ICE	16
IFF	22
IP	24
IPG	10
INTU	16
ISRG	24
IVZ	20
INVH	N/A
IQV	19
IRM	15
JBHT	14
JKHY	15
J	22
JNJ	25
JCI	15
JPM	29
JNPR	17
K	27
KVUE	N/A
KDP	N/A
KEY	23
KEYS	9
KMB	22
KIM	12
KMI	19
KLAC	17
KHC	35
KR	21
LHX	N/A
LH	19
LRCX	13
LW	N/A
LVS	18
LDOS	12
LEN	23
LNC	18
LIN	N/A
LYV	N/A
LKQ	11
LMT	28
L	16
LOW	11
LYB	25
MTB	26
MRO	42
MPC	29
MKTX	N/A
MAR	22
MMC	19
MLM	32
MAS	22
MA	17
MTCH	N/A
MKC	27
MCD	25
MCK	15
MDT	23
MRK	22
META	33
MET	15
MTD	13
MGM	25
MCHP	31
MU	17
MSFT	15
MAA	15
MRNA	N/A
MHK	14
MOH	N/A
TAP	21
MDLZ	24
MPWR	N/A
MNST	28
MCO	11
MS	22
MOS	34
MSI	14
MSCI	16
NDAQ	12
NTAP	15
NFLX	16
NWL	14
NEM	20
NWSA	12
NWS	N/A
NEE	28
NKE	17
NI	30
NDSN	27
NSC	23
NTRS	24
NOC	27
NCLH	26
NRG	32
NUE	32
NVDA	13
NVR	20
NXPI	22
ORLY	13
OXY	43
ODFL	N/A
OMC	16
ON	27
OKE	26
ORCL	14
OGN	N/A
OTIS	N/A
PCAR	28
PKG	17
PANW	14
PARA	N/A
PH	29
PAYX	17
PAYC	N/A
PYPL	16
PNR	23
PEP	16
PFE	25
PCG	35
PM	24
PSX	29
PNW	31
PXD	37
PNC	22
POOL	N/A
PPG	24
PPL	34
PFG	17
PG	27
PGR	21
PLD	9
PRU	16
PEG	26
PTC	19
PSA	12
PHM	21
QRVO	29
PWR	37
QCOM	17
DGX	21
RL	13
RJF	24
RTX	N/A
O	15
REG	11
REGN	18
RF	16
RSG	21
RMD	26
RVTY	N/A
RHI	11
ROK	18
ROL	20
ROP	23
ROST	16
RCL	21
SPGI	14
CRM	13
SBAC	12
SLB	22
STX	11
SEE	21
SRE	25
NOW	16
SHW	29
SPG	14
SWKS	28
SJM	31
SNA	31
SEDG	N/A
SO	33
LUV	32
SWK	26
SBUX	25
STT	22
STLD	32
STE	N/A
SYK	29
SYF	17
SNPS	13
SYY	12
TMUS	26
TROW	17
TTWO	N/A
TPR	13
TRGP	34
TGT	15
TEL	16
TDY	N/A
TFX	30
TER	16
TSLA	29
TXN	20
TXT	34
TMO	14
TJX	14
TSCO	14
TT	16
TDG	39
TRV	21
TRMB	13
TFC	N/A
TYL	N/A
TSN	37
USB	30
UDR	12
ULTA	15
UNP	25
UAL	29
UPS	20
URI	18
UNH	18
UHS	33
VLO	30
VTR	13
VRSN	21
VRSK	19
VZ	18
VRTX	23
VFC	13
VTRS	N/A
VICI	N/A
V	16
VMC	29
WAB	23
WBA	18
WMT	25
WBD	N/A
WM	17
WAT	17
WEC	27
WFC	33
WELL	12
WST	N/A
WDC	11
WRK	N/A
WY	18
WHR	16
WMB	24
WTW	19
GWW	15
WYNN	26
XEL	24
XYL	16
YUM	21
ZBRA	N/A
ZBH	27
ZION	N/A
ZTS	18
