Ticker,esg_score
CBRE,7
HAS,7
CDW,9
KEYS,9
PLD,9
ACN,10
EA,10
PEAK,10
IPG,10
APD,11
AMT,11
AZO,11
AVB,11
BALL,11
ELV,11
EQR,11
HPQ,11
ILMN,11
LKQ,11
LOW,11
MCO,11
REG,11
RHI,11
STX,11
WDC,11
ADBE,12
AMAT,12
APTV,12
CDNS,12
CAH,12
KMX,12
CI,12
CSCO,12
DHR,12
EQIX,12
ESS,12
FRT,12
HPE,12
KIM,12
LDOS,12
NDAQ,12
NWSA,12
PSA,12
SBAC,12
SYY,12
UDR,12
WELL,12
ANSS,13
BWA,13
BXP,13
CCI,13
DLR,13
GPC,13
HSIC,13
HD,13
LRCX,13
MTD,13
NVDA,13
ORLY,13
RL,13
CRM,13
SNPS,13
TPR,13
TRMB,13
VTR,13
VFC,13
ADP,14
ARE,14
BBY,14
CTSH,14
EXR,14
HST,14
JBHT,14
MHK,14
MSI,14
NWL,14
ORCL,14
PANW,14
SPGI,14
SPG,14
TMO,14
TJX,14
TSCO,14
A,15
AVY,15
CME,15
DIS,15
DLTR,15
GEN,15
IBM,15
IRM,15
JKHY,15
JCI,15
MCK,15
MET,15
MSFT,15
MAA,15
NTAP,15
O,15
TGT,15
ULTA,15
GWW,15
ANET,16
ADSK,16
BBWI,16
BR,16
CPT,16
XRAY,16
DXC,16
EXPD,16
HIG,16
ICE,16
INTU,16
L,16
MSCI,16
NFLX,16
OMC,16
PYPL,16
PEP,16
PRU,16
RF,16
ROST,16
NOW,16
TEL,16
TER,16
TT,16
V,16
WHR,16
XYL,16
AFL,17
AKAM,17
AAPL,17
BIO,17
DE,17
DG,17
EBAY,17
FITB,17
HLT,17
INTC,17
JNPR,17
KLAC,17
MA,17
MU,17
NKE,17
PKG,17
PAYX,17
PFG,17
QCOM,17
SYF,17
TROW,17
WM,17
WAT,17
AXP,18
CTAS,18
CPRT,18
ETN,18
FIS,18
FLT,18
BEN,18
LVS,18
LNC,18
REGN,18
ROK,18
URI,18
UNH,18
VZ,18
WBA,18
WY,18
ZTS,18
ATVI,19
ALL,19
GLW,19
CMI,19
EW,19
ES,19
FFIV,19
FTNT,19
GRMN,19
GPN,19
IDXX,19
IQV,19
KMI,19
LH,19
MMC,19
PTC,19
VRSK,19
WTW,19
CHRW,20
CHD,20
COO,20
CSX,20
FDS,20
FDX,20
GL,20
HBAN,20
ITW,20
IVZ,20
NEM,20
NVR,20
ROL,20
TXN,20
UPS,20
APH,21
ACGL,21
AJG,21
BIIB,21
BLK,21
BK,21
BRO,21
CBOE,21
CNC,21
CLX,21
CMS,21
KR,21
TAP,21
PGR,21
PHM,21
DGX,21
RSG,21
RCL,21
SEE,21
TRV,21
VRSN,21
YUM,21
