Ticker,average_roi
XOM_data,0.274962251
CVX_data,0.204998726
MRK_data,0.167952881
CAT_data,0.09020412
IBM_data,0.051500941
KO_data,0.047880223
T_data,0.039884896
UNH_data,0.038444005
MO_data,0.029579118
JNJ_data,0.029091518
WMT_data,0.012508151
MA_data,0.009957011
MCD_data,0.009749627
V_data,0.004980749
FB_data,0
BRK.B_data,0
PG_data,-0.011058314
GS_data,-0.015363713
PFE_data,-0.029436226
SBUX_data,-0.031045313
JPM_data,-0.036232814
COST_data,-0.064420955
ABT_data,-0.078182769
VZ_data,-0.078766659
HD_data,-0.079339449
CSCO_data,-0.084023282
AAPL_data,-0.096960535
MSFT_data,-0.106292534
CMCSA_data,-0.11684328
AAP_data,-0.152535474
GOOG_data,-0.164890246
GOOGL_data,-0.167807726
NFLX_data,-0.178629862
NVDA_data,-0.199095037
DIS_data,-0.202624951
CRM_data,-0.214848257
INTC_data,-0.220951709
AMZN_data,-0.223173752
PYPL_data,-0.317254045
TSLA_data,-0.32930592
