Ticker,average_volatility
JNJ,1.096553207
KO,1.239873522
MCD,1.246593732
MRK,1.255495065
PG,1.382953087
VZ,1.425493154
IBM,1.503175506
UNH,1.535323631
MO,1.568353131
ABT,1.679957437
WMT,1.682974384
PFE,1.698315757
T,1.728831398
CSCO,1.844770636
GS,1.864036871
CMCSA,1.876501143
JPM,1.881790839
V,1.950309346
HD,1.973236019
COST,1.976086561
MA,2.042154667
CVX,2.073788132
CAT,2.114904382
XOM,2.210276443
MSFT,2.22453025
AAPL,2.248663888
SBUX,2.259609898
DIS,2.33486809
AAP,2.344311122
INTC,2.413558243
GOOGL,2.43475811
GOOG,2.442288888
CRM,2.974692577
AMZN,3.154574888
PYPL,3.700945561
NVDA,3.982335373
TSLA,4.200182595
NFLX,4.413558601
